Rtype,RegionCode,RegionName,CarAccidents,Deaths
federation,Russian Federation,Российская Федерация,203597,27991
fregion,BEL,Белгородская область,1369,285
fregion,BRY,Брянская область,1449,238
fregion,VLA,Владимирская область,3157,450
fregion,VOR,Воронежская область,3920,615
fregion,IVA,Ивановская область,2018,187
fregion,KLU,Калужская область,2140,368
fregion,KOS,Костромская область,873,80
fregion,KRS,Курская область,2060,307
fregion,LIP,Липецкая область,2225,271
fregion,MOW,Москва,12010,810
fregion,MOS,Московская область,9241,1706
fregion,ORL,Орловская область,1350,180
fregion,RYA,Рязанская область,2464,370
fregion,SMO,Смоленская область,1384,219
fregion,TAM,Тамбовская область,2057,248
fregion,TVE,Тверская область,2077,301
fregion,TUL,Тульская область,2621,386
fregion,YAR,Ярославская область,2078,284
fdistrict,Central,Центральный округ,54493,7305
fregion,KR,Республика Карелия,861,110
fregion,KO,Республика Коми,1675,134
fregion,ARK,Архангельская область,2133,214
fregion,VLG,Вологодская область,1986,207
fregion,KGD,Калининградская область,1327,193
fregion,LEN,Ленинградская область,3576,642
fregion,SPE,Санкт-Петербург,8288,445
fregion,MUR,Мурманская область,969,85
fregion,NGR,Новгородская область,1470,216
fregion,PSK,Псковская область,1635,247
fregion,NEN,Ненецкий авт.округ,43,4
fdistrict,Northwestern,Северо-Западный округ,23963,2497
fregion,AD,Республика Адыгея,540,111
fregion,KL,Республика Калмыкия,692,99
fregion,KDA,Краснодарский край,6710,1190
fregion,AST,Астраханская область,1763,168
fregion,VGG,Волгоградская область,3052,432
fregion,ROS,Ростовская область,6183,823
fdistrict,Southern,Южный округ,18940,2823
fregion,DA,Республика Дагестан,1419,510
fregion,IN,Республика Ингушетия,235,88
fregion,KB,Кабардино-Балкарская Республика,837,212
fregion,KC,Карачаево-Черкесская Республика,642,133
fregion,SE,Республика Северная Осетия,769,156
fregion,CE,Чеченская Республика,387,210
fregion,CE & IN,Чеченская Республика и Республика Ингушетия,652,298
fregion,STA,Ставропольский край,2912,504
fdistrict,Northcaucasian,Северо-Кавказский округ,7201,1813
fregion,BA,Республика Башкортостан,5115,707
fregion,ME,Республика Марий Эл,1113,151
fregion,MO,Республика Мордовия,1104,219
fregion,TA,Республика Татарстан,5483,695
fregion,UD,Удмуртская Республика,1524,269
fregion,CU,Чувашская Республика,2061,265
fregion,PER,Пермский край,3898,596
fregion,KIR,Кировская область,2093,241
fregion,NIZ,Нижегородская область,5215,706
fregion,ORE,Оренбургская область,2449,369
fregion,PNZ,Пензенская область,2251,296
fregion,SAM,Самарская область,4600,591
fregion,SAR,Саратовская область,2605,438
fregion,ULY,Ульяновская область,2199,212
fdistrict,Volga,Приволжский округ,41710,5755
fregion,KGN,Курганская область,1410,235
fregion,SVE,Свердловская область,5387,836
fregion,TYU,Тюменская область,3431,381
fregion,CHE,Челябинская область,4924,641
fregion,KHM,Ханты-мансийский авт.округ,2462,308
fregion,YAN,Ямало-ненецкий авт.округ,743,81
fdistrict,Urals,Уральский округ,18357,2482
fregion,AL,Республика Алтай,436,84
fregion,BU,Республика Бурятия,1463,237
fregion,TY,Республика Тыва,337,145
fregion,KK,Республика Хакасия,1170,149
fregion,ALT,Алтайский край,3778,407
fregion,ZAB,Забайкальский край,1287,277
fregion,KYA,Красноярский край,5135,620
fregion,IRK,Иркутская область,3420,529
fregion,KEM,Кемеровская область,3913,562
fregion,NVS,Новосибирская область,2637,453
fregion,OMS,Омская область,3377,375
fregion,TOM,Томская область,952,126
fdistrict,Siberia,Сибирский округ,27905,3964
fregion,SA,Республика Саха (Якутия),932,134
fregion,PRI,Приморский край,4370,497
fregion,KAM,Камчатский край,655,75
fregion,KHA,Хабаровский край,2203,233
fregion,AMU,Амурская область,1367,192
fregion,MAG,Магаданская область,314,49
fregion,SAK,Сахалинская область,760,120
fregion,YEV,Еврейская автономная область,403,51
fregion,CHU,Чукотский авт.округ,24,1
fdistrict,Far_Eastern,Дальневосточный округ,11028,1352
